time (s),booster speed (km/s),booster altitude (m),ship speed (km/s),ship altitude (m),
-3,0,0,None,None,
-3,0,0,None,None,
-2,0,0,None,None,
1,0,0,None,None,
3,27,0,None,None,
6,73,0,None,None,
20,333,0,None,None,
22,378,1,None,None,
25,422,1,None,None,
27,468,1,None,None,
29,516,1,None,None,
31,565,2,None,None,
34,615,2,None,None,
36,668,3,None,None,
38,716,3,None,None,
56,1048,7,None,None,
58,1085,8,None,None,
60,1124,9,None,None,
62,1165,9,None,None,
65,1218,10,None,None,
67,1264,11,None,None,
69,1316,12,None,None,
71,1368,12,None,None,
74,1424,13,None,None,
76,1485,14,None,None,
78,1546,15,None,None,
80,1612,16,None,None,
83,1683,17,None,None,
85,1754,18,None,None,
87,1827,19,None,None,
89,1907,20,None,None,
91,1988,21,None,None,
93,2072,22,None,None,
96,2160,23,None,None,
98,2254,24,None,None,
100,2347,25,None,None,
102,2442,26,None,None,
104,2541,28,None,None,
107,2660,29,None,None,
109,2766,30,None,None,
111,2890,32,None,None,
114,3013,33,None,None,
116,3134,35,None,None,
118,3258,36,None,None,
121,3379,38,None,None,
123,3502,40,None,None,
125,3626,41,None,None,
128,3752,43,None,None,
130,3875,44,None,None,
132,3996,46,None,None,
134,4119,48,None,None,
137,4248,49,None,None,
139,4371,51,None,None,
141,4492,53,None,None,
143,4620,55,None,None,
146,4748,56,None,None,
148,4873,58,None,None,
150,5005,60,None,None,
152,5136,62,None,None,
155,5257,63,None,None,
157,5259,65,None,None,
159,5230,67,None,None,
161,5188,69,None,None,
164,5177,70,None,None,
166,5172,72,None,None,
168,5146,73,5319,74,
170,5022,75,5356,75,
173,4779,76,5393,77,
175,4478,78,5431,78,
177,4152,79,5469,79,
179,3813,81,5511,81,
181,3488,82,5552,82,
183,3136,83,5599,84,
186,2784,84,5648,85,
188,2455,85,5694,87,
190,2122,87,5744,88,
193,1823,87,5794,89,
195,1566,88,5844,91,
197,1370,89,5896,92,
199,1249,90,5948,93,
201,1203,91,6000,95,
203,1227,91,6054,96,
206,1313,92,6109,97,
208,1453,93,6163,98,
210,1639,93,6219,99,
212,1747,94,6276,101,
214,1777,94,6336,102,
216,1817,94,6395,103,
219,1858,95,6467,104,
221,1899,95,6527,105,
223,1889,95,6591,106,
225,1876,96,6656,107,
227,1866,96,6719,108,
229,1859,96,6781,109,
232,1854,96,6849,110,
234,1852,96,6929,112,
237,1854,96,7012,113,
239,1860,96,7097,114,
242,1870,96,7181,115,
244,1884,95,7268,116,
247,1902,95,7357,117,
250,1929,95,7468,118,
252,1953,94,7552,119,
255,1979,94,7632,120,
257,2006,93,7712,121,
259,2036,93,7771,122,
261,2070,92,7873,122,
263,2104,92,7956,123,
266,2139,91,8039,124,
268,2177,90,8123,125,
270,2218,90,8209,125,
272,2259,89,8297,126,
274,2301,88,8384,127,
276,2345,87,8472,127,
278,2389,87,8561,128,
281,2437,86,8653,129,
283,2486,85,8748,129,
285,2535,84,8839,130,
287,2582,83,8929,130,
289,2633,82,9021,131,
291,2685,80,9118,132,
293,2739,79,9217,132,
295,2792,78,9314,133,
298,2848,77,9416,133,
300,2903,75,9515,134,
302,2957,74,9615,134,
304,3014,73,9716,135,
306,3070,71,9818,135,
308,3127,70,9922,136,
310,3188,68,10032,136,
312,3245,67,10136,136,
314,3303,65,10241,137,
316,3361,64,10349,137,
319,3419,62,10454,137,
321,3477,61,10560,138,
322,3537,59,10670,138,
325,3597,57,10781,139,
327,3658,55,10895,139,
329,3718,54,11008,139,
331,3779,52,11123,139,
333,3839,50,11238,140,
335,3899,48,11353,140,
337,3961,46,11474,140,
339,4021,44,11594,141,
341,4079,42,11714,141,
343,4138,40,11838,141,
345,4196,38,11962,141,
347,4250,36,12086,141,
349,4300,33,12213,142,
353,4377,29,12478,142,
355,4394,27,12617,142,
357,4387,24,12753,142,
360,4343,22,12897,143,
362,4252,20,13039,143,
364,4063,17,13201,143,
366,3802,15,13349,143,
368,3460,13,13509,143,
371,3102,11,13664,143,
373,2761,9,13816,143,
375,2458,8,13966,144,
377,2184,7,14124,144,
379,1958,6,14279,144,
381,1765,4,14444,144,
383,1603,4,14603,144,
385,1461,3,14766,144,
387,1350,2,14932,144,
390,1263,1,15114,144,
398,213,0,15848,144,
405,99,0,16455,144,
410,25,0,16921,144,
413,9,0,17148,144,
415,2,0,17374,144,
417,1,0,17606,144,
420,0,0,17842,144,
422,0,0,18084,144,
425,0,0,18329,144,
427,0,0,18572,144,
429,None,None,18829,144,
432,None,None,19084,144,
434,None,None,19342,144,
436,None,None,19602,145,
438,None,None,19869,145,
441,None,None,20147,145,
443,None,None,20419,145,
445,None,None,20692,145,
448,None,None,20972,145,
450,None,None,21256,145,
452,None,None,21526,145,
454,None,None,21802,145,
456,None,None,22073,145,
459,None,None,22341,145,
461,None,None,22620,145,
463,None,None,22935,145,
466,None,None,23242,146,
468,None,None,23558,146,
471,None,None,23877,146,
473,None,None,24185,146,
476,None,None,24490,146,
478,None,None,24798,146,
481,None,None,24959,147,
486,None,None,25234,147,
488,None,None,25372,147,
491,None,None,25515,148,
493,None,None,25657,148,
496,None,None,25810,148,
498,None,None,25960,148,
501,None,None,26106,149,
503,None,None,26262,149,
516,None,None,26499,150,
519,None,None,26498,151,
521,None,None,26497,151,
524,None,None,26496,151,
527,None,None,26494,152,
529,None,None,26493,152,
533,None,None,26491,153,
543,None,None,26487,154,
552,None,None,26482,155,
554,None,None,26481,155,
556,None,None,26480,155,
559,None,None,26479,156,
561,None,None,26478,156,
563,None,None,26477,156,
566,None,None,26476,156,
568,None,None,26474,157,
570,None,None,26473,157,
573,None,None,26472,157,
575,None,None,26471,158,
577,None,None,26470,158,
580,None,None,26469,158,
582,None,None,26468,158,
584,None,None,26467,159,
587,None,None,26465,159,
589,None,None,26464,159,
591,None,None,26463,159,
594,None,None,26462,160,
596,None,None,26461,160,
598,None,None,26460,160,
601,None,None,26458,161,
603,None,None,26457,161,
605,None,None,26456,161,
608,None,None,26454,161,
618,None,None,26450,163,
623,None,None,26447,163,
629,None,None,26444,164,
634,None,None,26442,164,
655,None,None,26432,167,
657,None,None,26431,167,
662,None,None,26429,167,
664,None,None,26428,168,
666,None,None,26427,168,
673,None,None,26423,168,
675,None,None,26423,169,
677,None,None,26421,169,
679,None,None,26420,169,
682,None,None,26419,169,
684,None,None,26418,170,
686,None,None,26417,170,
688,None,None,26416,170,
691,None,None,26415,170,
693,None,None,26414,171,
695,None,None,26413,171,
697,None,None,26412,171,
700,None,None,26411,171,
719,None,None,26402,173,
722,None,None,26401,174,
724,None,None,26400,174,
